Television,Mobile only,Computer/Laptop (With Internet),Without Internet,Good,Livable,Dilapidated,Class
28.6,32,0.5,2.2,44,45.8,10.2,NO
28.6,32,0.5,2.2,44,45.8,10.2,NO
36.3,36.5,1,3.7,56.9,38.1,4.9,YES
29.4,32.8,0.5,2.9,54.4,40.3,5.2,NO
71.1,55.2,3.6,7.7,69.6,27,3.3,YES
36.5,38.1,0.6,3.8,55.8,38.7,5.5,NO
31.7,35.2,0.4,3.4,53.2,41,5.8,NO
65.9,56.4,1.8,6,71.9,24.7,3.4,YES
31.6,36.9,0.5,2.9,62.3,33.9,3.9,NO
31.6,36.9,0.5,2.9,62.3,33.9,3.9,NO
48.1,39.3,2,4.9,60.3,35.7,4,YES
31.9,29.4,0.6,2.9,54.6,40.9,4.6,NO
74.2,55.3,4.3,8.2,69.5,27.5,3,YES
33.7,37.9,0.8,4.8,59.7,35,5.3,YES
29.8,35.8,0.7,4.7,58.3,36.6,5.1,NO
59.2,51.7,1.9,5.8,68.7,24.7,6.5,YES
23.9,31.7,0.5,4,63.9,32.1,4,NO
21.5,30.3,0.4,3.9,63.4,32.7,3.9,NO
61.9,54.5,1.4,5,72.3,22.3,5.4,YES
28.5,38,0.4,1.5,54.6,39.9,5.6,NO
28.5,38,0.4,1.5,54.6,39.9,5.6,NO
30.4,32.6,0.4,2.5,47.8,43.6,8.6,NO
30.4,32.6,0.4,2.5,47.8,43.6,8.6,NO
27.8,29.5,0.5,2.7,47.1,49.7,3.2,NO
22.5,25.5,0.3,2,44.2,52.5,3.3,NO
63.8,56.3,1.8,7.6,66.8,30.8,2.4,YES
25.9,25.8,0.7,3.8,51,40.9,8.1,NO
20.8,21.8,0.5,3.6,48.7,42.6,8.7,NO
67.1,58,2.4,5.8,69,27,4,YES
35.7,32.7,1.2,3.4,50.1,41.4,8.5,YES
24.2,24.3,0.4,2.7,46.8,43.1,10.1,NO
60.5,51,2.9,5,57.2,37.8,5,YES
29.5,26.3,0.8,4.4,50.6,42.4,6.9,YES
29.5,26.3,0.8,4.4,50.6,42.4,6.9,YES
23.5,21,0.4,2.8,54.5,39.1,6.4,NO
20.1,19,0.2,2.4,53.9,39.3,6.8,NO
59.8,42.5,2.5,6.7,61.4,36.4,2.1,YES
13.7,14.5,0.3,4.2,72.2,26.5,1.3,NO
13.7,14.5,0.3,4.2,72.2,26.5,1.3,NO
14.7,14.4,0.3,7.5,51.6,43.5,5,NO
14.7,14.4,0.3,7.5,51.6,43.5,5,NO
42.5,37.8,1.3,4,58,34.8,7.2,YES
25.3,22.4,0.5,2.3,49,41.5,9.5,NO
73.6,65.5,2.7,7,74.2,22.7,3.1,YES
25.8,28.8,0.4,2.2,50.9,38.8,10.3,NO
24.7,27.8,0.4,2.2,50.4,39.2,10.4,NO
59.9,59.5,1,2.8,67.5,25.3,7.2,YES
22.6,27.3,0.8,3.1,36.2,55.6,8.2,YES
22.6,27.3,0.8,3.1,36.2,55.6,8.2,YES
12.1,11.3,0.2,2.9,43.9,51.9,4.3,NO
12.1,11.3,0.2,2.9,43.9,51.9,4.3,NO
10.2,10.4,0.1,3,50.6,43.4,6,NO
10.2,10.4,0.1,3,50.6,43.4,6,NO
25.5,27.6,0.9,5.3,50.3,40.7,9,YES
20,24,0.8,5.4,47.1,43.2,9.8,YES
63.6,52.5,1.8,4.6,72.7,23.9,3.4,YES
18.8,24.1,0.5,3.8,39.2,43.8,17,NO
14.4,21.1,0.4,3.7,35.5,46.5,17.9,NO
62.7,53.9,1.1,4.2,75.6,17.2,7.2,YES
43.4,40.1,1.6,4.4,55.5,35.9,8.6,YES
27.5,29.5,0.4,2.8,47.5,41.3,11.2,NO
74.9,61.1,3.8,7.5,71.4,25.2,3.4,YES
46.9,44.2,1,3.8,55.8,35.2,9,YES
37.6,39.5,0.6,3.1,51.4,38.5,10.1,NO
73.4,57.5,2,5.8,68.5,25.7,5.8,YES
27.3,26.7,0.3,2.8,45.2,42.2,12.6,NO
27.3,26.7,0.3,2.8,45.2,42.2,12.6,NO
25.8,26,0.4,2.7,48.4,41.3,10.3,NO
25.8,26,0.4,2.7,48.4,41.3,10.3,NO
33.3,29.7,0.8,3.5,47.5,41.2,11.3,YES
22.9,22,0.2,2.4,41.1,46.2,12.8,NO
73.8,59.5,3,7.7,72.3,22.1,5.6,YES
18.7,18.8,0.2,2,40.5,46.2,13.3,NO
18.7,18.8,0.2,2,40.5,46.2,13.3,NO
24.3,24,0.4,3.1,48.7,40.2,11.1,NO
24.3,24,0.4,3.1,48.7,40.2,11.1,NO
54.9,49,1.3,4.2,65.9,27.8,6.3,YES
35.8,37,0.7,2.3,55,35.3,9.8,NO
78.7,64,2.1,6.6,79.5,18.6,1.9,YES
72.7,59.9,4.2,7.7,69.5,26.7,3.9,YES
44.8,44.1,0.4,3.6,57.4,34.3,8.3,NO
78.5,63.1,5,8.6,72,25.1,2.9,YES
25.6,26.2,0.5,2.3,50.5,39.4,10,NO
18.1,21.7,0.3,1.9,48,41,11.1,NO
54.7,43.9,1.4,3.7,60.5,33.4,6.1,YES
18.8,23.5,0.1,2.4,44.8,39,16.2,NO
18.8,23.5,0.1,2.4,44.8,39,16.2,NO
63.8,54.3,2.2,5.5,66.2,29.7,4.1,YES
35.4,34.2,0.3,4.7,55.6,36.3,8.1,NO
73,60.8,2.8,5.7,69.7,27.6,2.8,YES
47.2,53.2,1.3,4.7,56.2,35.4,8.4,YES
39.4,50.1,0.7,3.5,50.9,39.2,9.9,NO
63.2,59.5,2.6,7.2,67.2,27.6,5.2,YES
8,18.2,0.1,2,28.8,62,9.2,NO
8,18.2,0.1,2,28.8,62,9.2,NO
46.4,44.3,1.8,4,59,33.8,7.1,YES
37.6,39.3,1.1,2.7,54.4,37.2,8.5,YES
69.8,57.5,3.7,7.2,71.4,25.1,3.5,YES
20.7,27.5,0.7,4.7,46.7,38.9,14.5,NO
17.3,25.7,0.5,4.6,45.6,39.3,15.2,NO
51.7,44.2,2.6,5.9,56.8,35.2,7.9,YES
38.3,37.9,1,3.7,49.3,43.4,7.3,YES
30.5,33.3,0.4,3,45,46.9,8.1,NO
69.5,56.4,3.3,6.6,66.8,29.3,3.9,YES
32.1,28.8,0.4,3.8,48.8,43.7,7.5,NO
29.1,25.7,0.2,3.1,47.9,44.4,7.7,NO
45.3,42.7,1.1,7.2,52.9,40.4,6.8,YES
36.8,29.9,0.2,2.2,49.1,42.3,8.6,NO
36.8,29.9,0.2,2.2,49.1,42.3,8.6,NO
32.8,26.6,0.4,2.6,44.9,47.2,7.9,NO
32.8,26.6,0.4,2.6,44.9,47.2,7.9,NO
58.8,44.9,3.2,6.5,59.8,35.2,5,YES
31.6,26.9,0.3,2.6,40.3,52.7,7.1,NO
76.2,56.4,5.1,9,72.3,23.9,3.7,YES
31,34.5,0.3,2.9,47.6,44.6,7.8,NO
26.9,31,0.2,2.7,43.8,47.5,8.7,NO
56.2,56.1,1.3,4.3,71.1,26.4,2.5,YES
32.8,35.5,0.8,2.5,46,46.9,7.1,YES
24.1,29.2,0.5,1.9,40.6,51.5,7.9,NO
56.6,52.7,1.6,4.5,60.9,34.4,4.8,YES
34.1,38.6,0.8,4.3,48.6,45.7,5.8,YES
24,33,0.3,3.6,44.1,49.3,6.6,NO
67.2,56.8,2.5,6.7,63.3,33.8,2.9,YES
33.3,43,0.4,2.5,41.8,50.9,7.3,NO
27.4,39.2,0.3,2.3,40.7,51.6,7.7,NO
63.6,62.7,1.1,3.3,47.3,47.6,5,YES
23.7,36.2,0.3,3.1,40.9,51.2,7.9,NO
23.7,36.2,0.3,3.1,40.9,51.2,7.9,NO
29,32.1,0.4,3.7,46.5,45.3,8.2,NO
29,32.1,0.4,3.7,46.5,45.3,8.2,NO
33.9,32,0.5,3.1,49.4,45.1,5.5,NO
29.4,28.7,0.4,3.2,46.9,47.3,5.9,NO
61,51.3,1.3,2.5,64.6,32.2,3.2,YES
38.6,33.4,0.8,3.5,49.4,42.5,8.1,YES
31.1,28.3,0.3,3.3,45.9,45.4,8.7,NO
72.5,56.4,2.8,4.7,65.3,29.5,5.2,YES
36.5,32.8,0.4,4,43.2,44.8,12,NO
36.5,32.8,0.4,4,43.2,44.8,12,NO
33.7,36.7,0.4,3.2,48.4,42.6,9,NO
33.7,36.7,0.4,3.2,48.4,42.6,9,NO
31.5,36.4,0.3,2.6,43.4,47.6,9.1,NO
31.5,36.4,0.3,2.6,43.4,47.6,9.1,NO
59,54.7,1.5,3.5,62.2,30.4,7.4,YES
52.2,52.1,1.1,3.3,58.4,32.5,9.1,YES
74.2,60.3,2.3,3.9,70.6,25.7,3.7,YES
33,52.5,1.2,5.4,46.2,47,6.8,YES
22.6,47.8,0.4,4.4,41.1,51.2,7.8,NO
63,66,3.2,8.4,61,35,4,YES
